DATE,YEAR,MONTH,DAY,WEEK,TIME,PRICE,ACTION,REVERSAL,DURATION,RESULT,OUTCOME
2019-12-31,2019,Dec,Tue,5,04:00,1521.27,BUY,473.0000000000018,30,400,PROFIT
2020-01-02,2020,Jan,Thu,1,16:00,1528.0,BUY,525.9999999999991,10,400,PROFIT
2020-01-03,2020,Jan,Fri,1,03:00,1530.52,BUY,62.99999999998818,0,400,PROFIT
2020-01-06,2020,Jan,Mon,2,03:00,1569.46,BUY,68.00000000000637,0,400,PROFIT
2020-01-07,2020,Jan,Tue,2,05:00,1558.96,SELL,103.99999999999636,19,-2000,LOSS
2020-01-08,2020,Jan,Wed,2,03:00,1598.97,BUY,841.0000000000082,0,400,PROFIT
2020-01-08,2020,Jan,Wed,2,22:00,1554.02,SELL,799.0000000000009,9,400,PROFIT
2020-01-09,2020,Jan,Thu,2,09:00,1544.12,SELL,1894.0000000000055,63,400,PROFIT
2020-01-13,2020,Jan,Mon,3,01:00,1561.87,BUY,0.0,24,-2000,LOSS
2020-01-14,2020,Jan,Tue,3,03:00,1543.44,SELL,12.999999999988177,0,400,PROFIT
2020-01-15,2020,Jan,Wed,3,05:00,1552.16,BUY,525.9999999999991,11,400,PROFIT
2020-01-16,2020,Jan,Thu,3,03:00,1557.02,BUY,900.9999999999991,40,400,PROFIT
2020-01-17,2020,Jan,Fri,3,15:00,1559.01,BUY,499.0000000000009,30,400,PROFIT
2020-01-20,2020,Jan,Mon,4,08:00,1561.85,BUY,354.99999999999545,14,400,PROFIT
2020-01-21,2020,Jan,Tue,4,04:00,1566.56,BUY,200.0,12,-2000,LOSS
2020-01-21,2020,Jan,Tue,4,12:00,1555.85,SELL,114.00000000001,1,400,PROFIT
2020-01-22,2020,Jan,Wed,4,06:00,1552.03,SELL,149.0000000000009,57,-2000,LOSS
2020-01-23,2020,Jan,Thu,4,03:00,1561.84,BUY,1000.0,15,400,PROFIT
2020-01-24,2020,Jan,Fri,4,18:00,1570.23,BUY,140.0000000000091,1,400,PROFIT
